Arial,Arial
"Times New Roman","Times New Roman"
"Times New Roman - Italic","Times New Roman - Italic"
PMingLiU,PMingLiU
"Add Free Engraving","Add Free Engraving"
"Free Engraving","Free Engraving"
"Make your ring truly memorable and personal with our free laser engraving service.","Make your ring truly memorable and personal with our free laser engraving service."
SAVE,SAVE
"Free Engraving Added to product.","Free Engraving Added to product."
"Add Engraving","Add Engraving"
"Edit Engraving","Edit Engraving"
"Remove Engraving","Remove Engraving"
"Make your ring truly memorable and personal with our laser engraving service.","Make your ring truly memorable and personal with our laser engraving service."
"Enter Engraving Text","Enter Engraving Text"
"Characters available.","Characters available."
"Choose Font","Choose Font"
Preview,Preview
"A 10x magnifying glass may be required to clearly read the engraving on your jewelry.","A 10x magnifying glass may be required to clearly read the engraving on your jewelry."
"Engraving Added to product.","Engraving Added to product."
Item,Item
SKU#,SKU#
Save,Save
Price,Price
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
Qty,Qty
"In Stock","In Stock"
Subtotal,Subtotal
SKU:,SKU:
Continue,Continue
