"Choose Your","Choose Your"
Setting,Setting
Diamond,Diamond
Review,Review
"Complete Ring","Complete Ring"
"No Video","No Video"
"Stock Number ","Stock Number "
SKU#,SKU#
"Diamond Grading Report","Diamond Grading Report"
" View"," View"
" Not Available"," Not Available"
"Internal use Only:","Internal use Only:"
"Dealer Info","Dealer Info"
"Click Here","Click Here"
"for Dealer Info.","for Dealer Info."
"Enter Your Gemfind Password","Enter Your Gemfind Password"
Submit,Submit
"Dealer Name:","Dealer Name:"
"Dealer Company:","Dealer Company:"
"Dealer City/State:","Dealer City/State:"
"Dealer Contact No.:","Dealer Contact No.:"
"Dealer Email:","Dealer Email:"
"Dealer Lot number of the item:","Dealer Lot number of the item:"
"Dealer Stock number of the item:","Dealer Stock number of the item:"
"Wholesale Price:","Wholesale Price:"
"Third Party:","Third Party:"
"Diamond Id:","Diamond Id:"
"Seller Name:","Seller Name:"
"Seller Address:","Seller Address:"
"Dealer Fax:","Dealer Fax:"
"Dealer Address:","Dealer Address:"
"Diamond Specification","Diamond Specification"
Color:,Color:
NA,NA
Clarity:,Clarity:
Report:,Report:
Cut:,Cut:
"Drop A Hint","Drop A Hint"
"Request More Info","Request More Info"
"E-Mail A Friend","E-Mail A Friend"
"Print Details","Print Details"
"Schedule Viewing","Schedule Viewing"
"Call For Price","Call For Price"
"Buy Diamond Only","Buy Diamond Only"
"Complete Your Ring","Complete Your Ring"
"Add Your Setting","Add Your Setting"
"Because you deserve this.","Because you deserve this."
"* Required Fields","* Required Fields"
"Your Name","Your Name"
"Your E-mail","Your E-mail"
"Hint Recipient's Name","Hint Recipient's Name"
"Hint Recipient's E-mail","Hint Recipient's E-mail"
"Reason For This Gift","Reason For This Gift"
"This is a required field.","This is a required field."
Cancel,Cancel
"Drop Hint","Drop Hint"
"Your Friend's Name","Your Friend's Name"
"Your Friend's E-mail","Your Friend's E-mail"
"Send To Friend","Send To Friend"
"Request More Information","Request More Information"
"Our specialists will contact you.","Our specialists will contact you."
"Your E-mail Address","Your E-mail Address"
"Your Phone Number","Your Phone Number"
"Contact Preference:","Contact Preference:"
"By Email","By Email"
"By Phone","By Phone"
Request,Request
"Schedule A Viewing","Schedule A Viewing"
"See This Item & More In Our Store","See This Item & More In Our Store"
--Location--,--Location--
"Diamond Details","Diamond Details"
"Stock Number","Stock Number"
Price,Price
"Price Per Carat","Price Per Carat"
"Carat Weight","Carat Weight"
"In House","In House"
Cut,Cut
Color,Color
Clarity,Clarity
"Depth %","Depth %"
"Table %","Table %"
Polish,Polish
Symmetry,Symmetry
Girdle,Girdle
Culet,Culet
Fluorescence,Fluorescence
Measurement,Measurement
"Additional information","Additional information"
"Loading Similar Diamonds...","Loading Similar Diamonds..."
"Diamond not found. Please try again after some time.","Diamond not found. Please try again after some time."
Shape,Shape
Carat,Carat
"Fancy Intensity","Fancy Intensity"
"Advanced Search","Advanced Search"
Depth,Depth
Table,Table
Certificates,Certificates
"Something went wrong, please try after Sizee!","Something went wrong, please try after Sizee!"
"Choose Diamond","Choose Diamond"
"Choose Setting","Choose Setting"
Compare,Compare
"Save Search","Save Search"
Reset,Reset
"Gemfind Diamond Search Extension not enabled.","Gemfind Diamond Search Extension not enabled."
Metal,Metal
"Something went wrong, please try after some time!","Something went wrong, please try after some time!"
"Hi! %1","Hi! %1"
Login,Login
"Engagement Rings","Engagement Rings"
"Start with Diamond","Start with Diamond"
